date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:04	72975/72975	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2012:50:03%20GMT	https://robnewtec.wordpress.com/	/home/andrea/websites/sito/robnewtec.wordpress.com/index.html	(from )
13:50:04	346/346	---MCZ	200	added ('OK')	text/plain	date:Sat,%2029%20Nov%202025%2012:50:02%20GMT	https://robnewtec.wordpress.com/robots.txt		(from )
13:50:04	42/42	---M--	405	error ('Not%20Allowed')	text/plain	date:Sat,%2029%20Nov%202025%2012:50:04%20GMT	https://robnewtec.wordpress.com/xmlrpc.php	/home/andrea/websites/sito/robnewtec.wordpress.com/xmlrpc.php	(from https://robnewtec.wordpress.com/)
13:50:05	8050/8050	---MCZ	200	added ('OK')	text/css	etag:W/9858-1761640976569.7266	https://robnewtec.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1761640963i&cssminify=yes	/home/andrea/websites/sito/robnewtec.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-barb6f2.css	(from https://robnewtec.wordpress.com/)
13:50:06	5099/5099	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2029%20Nov%202025%2012:50:06%20GMT	https://robnewtec.wordpress.com/feed/	/home/andrea/websites/sito/robnewtec.wordpress.com/feed/index.html	(from https://robnewtec.wordpress.com/)
13:50:06	317/317	---M--	200	added ('OK')	text/css	etag:W/471-1684465074401.1533	https://robnewtec.wordpress.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	/home/andrea/websites/sito/robnewtec.wordpress.com/wp-content/themes/h4/globalf753.css	(from https://robnewtec.wordpress.com/)
13:50:07	60963/60963	---MCZ	200	added ('OK')	text/css	etag:W/%22650e1679-ee23%22	https://robnewtec.wordpress.com/_static/??-eJyVzDEOgCAMQNELiQU1Jg7Gs2AlDYpAaInx9ro5O/7hfbiywhTFRYEcKvnIQPXN1RVSa0h4MOxOssVDBXunKoqK34DlDq5F5gb+LIoVH4k/vpyzGYe+03oyw/4AcmU1KQ==&cssminify=yes	/home/andrea/websites/sito/robnewtec.wordpress.com/_static/index63c9.html	(from https://robnewtec.wordpress.com/)
13:50:07	127802/127802	---MCZ	200	added ('OK')	text/css	etag:W/%2269248736-1f33a%22	https://robnewtec.wordpress.com/_static/??-eJytjFsOQDAQAC9Et208vsRZtDZVVkm3JW5PuILPmUkGzr20W0gYEuyUnQ8MLj9oMLqnRIRDa6GEBpM9jcDpImQwtNmlJG/iEK9PCstcwC+/NOH6/vq1U21TSanqVs43m5096Q==&cssminify=yes	/home/andrea/websites/sito/robnewtec.wordpress.com/_static/index22a3.html	(from https://robnewtec.wordpress.com/)
13:50:07	15529/15529	---MCZ	200	added ('OK')	text/css	etag:W/%226466d698-3ca9%22	https://robnewtec.wordpress.com/_static/??-eJzTLy/QzcxLzilNSS3WzyrWz01NyUxMzUnNTc0rQeEU5CRWphbp5qSmJyZX6uVm5uklFxfr6OPTDpRD5sM02efaGpoZmFkYGRuZGmQBAHPvL0Y=&cssminify=yes	/home/andrea/websites/sito/robnewtec.wordpress.com/_static/indexe516.html	(from https://robnewtec.wordpress.com/)
13:50:07	879/879	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224f9c6dd984cd2f4810eed9492d85e04f%22	https://robnewtec.wordpress.com/comments/feed/	/home/andrea/websites/sito/robnewtec.wordpress.com/comments/feed/index.html	(from https://robnewtec.wordpress.com/)
13:50:09	870/870	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Nov%202025%2012:50:08%20GMT	https://robnewtec.wordpress.com/xmlrpc.php?rsd	/home/andrea/websites/sito/robnewtec.wordpress.com/xmlrpc0db0.php	(from https://robnewtec.wordpress.com/)
